Gene.symbol,GSM738365,GSM738368,GSM738372,GSM738375,GSM738378,GSM738380
Ldhc,1.81267,1.87129,1.84462,1.92187,2.01828,2.0483
Ldhc,3.00948,2.77233,2.95908,2.91034,3.1669,2.82436
Prl3d1,3.41422,3.39181,3.36566,3.41412,3.20163,3.27956
Stmn1,9.84218,9.90953,9.86383,10.1325,9.98582,10.126
Rasa3,10.6425,10.445,10.427,9.80544,10.1201,10.2887
Impdh2,9.89052,9.93099,9.96289,10.1281,10.1202,9.85434
Impdh2,9.68632,9.77694,9.68584,9.87848,9.89631,9.66627
Def8,4.25723,4.27085,4.59427,4.56146,4.45235,4.45675
Kitl,2.24234,2.7783,2.66843,2.12175,1.99981,2.41567
Kitl,1.98497,2.03472,1.8824,1.74758,2.0634,2.08448
Emb,9.60625,9.35461,9.4929,9.17998,9.00157,9.34204
Emb,10.7477,10.8084,10.8257,10.7404,10.9783,11.049
G730046D07Rik///Eif3c,10.1754,10.1832,10.0507,10.4488,10.4637,10.2708
G730046D07Rik///Eif3c,10.5437,10.5043,10.4719,10.4495,10.6628,10.3964
Kpna2,8.90943,8.75401,8.70538,9.01377,9.18322,8.93787
Tyrp1,2.3136,2.4119,2.31988,2.32539,2.29901,2.21031
Tyrp1,2.65854,2.55575,2.59533,2.65681,2.55965,2.53265
Eif4g2,11.3963,11.3116,11.332,11.3537,11.4087,11.4442
Bpgm,5.05927,5.11445,5.20182,4.55559,5.19058,5.17341
Bpgm,6.28836,6.17165,5.85545,6.22124,6.07213,6.28138
Unc45a,7.23507,7.14694,7.04995,7.62406,7.20472,7.31309
Cct4,11.0307,10.981,10.875,10.3981,10.605,10.7148
Cct4,4.21931,4.06029,4.49501,3.65533,3.56219,3.88257
Trim28,9.19784,9.24205,9.1396,9.72608,9.41804,9.2434
Calu,8.25999,8.35247,8.14425,8.21369,8.19953,8.16092
Tgfbi,2.90321,2.81079,2.97615,2.79632,2.52899,2.88281
Hnrnph1,11.4687,11.3016,11.4019,10.3162,11.2591,11.2939
Actr1a,8.85435,8.86255,8.83228,9.68847,9.01993,9.05831
Spry1,6.12249,5.98667,5.58268,5.47222,6.31119,5.62035
Fam60a,2.54419,2.36425,2.07911,2.26961,2.38962,2.39122
Rps26,12.7495,12.7802,12.7965,12.7165,12.667,12.6573
Dpysl3,2.71643,2.86032,2.772,2.54341,2.93405,2.86001
Rrm1,6.31239,6.43052,6.19788,6.7313,6.82556,6.66083
Rplp2,13.5081,13.4671,13.471,13.4348,13.3519,13.434
Lamp1,9.22244,9.15226,9.0691,9.82971,9.47346,9.56041
Ghitm,8.50238,8.46914,8.39345,7.80986,8.60038,8.48828
Ghitm,10.0362,10.0769,10.0052,10.2098,10.3121,10.2743
Cela3b,2.2029,2.70167,2.48027,2.22058,2.48664,2.19473
Cela3b,2.46261,2.96121,2.41947,2.60795,2.44116,2.59793
Chgb,2.34971,2.68111,2.76338,2.56009,2.42393,2.58401
Sh2d3c,5.09068,4.86438,4.73817,4.95736,4.29351,4.80072
Tfg,8.1094,8.27348,8.18268,8.15048,8.48349,8.34649
Hdgf,9.10926,9.06847,8.98537,10.1305,9.61541,9.35139
Hsp90b1,10.2674,10.1565,10.1675,10.2826,10.3876,10.3749
Papss1,7.39094,7.23586,7.22354,7.50603,7.84134,7.76752
Suclg1,7.56292,7.77958,7.69754,7.22424,7.64678,7.83853
Sgpl1,7.45061,7.22211,7.33592,7.62949,7.68006,7.62955
Sgpl1,3.48144,3.51961,3.02407,3.37033,4.52565,4.18517
Enpp2,2.42522,2.4076,2.31043,2.32991,2.25009,2.32186
Snrpn,6.84057,7.05465,6.78307,7.15197,6.81658,6.92668
Snrpn,6.9363,6.96515,6.92717,7.20785,6.93874,6.86026
Mgst1,2.43417,2.48407,2.52591,2.51094,2.4491,2.95093
Mgst1,2.08628,2.13546,1.98589,2.20183,1.90174,1.97775
