GeneName,control,treatment,log2FoldChange,padj
Slfn9,24.9867089586982,63.2325232693478,-1.0288,0.010471
Edem1,3568.89012796497,5212.9368237194,-0.44179,1.255e-7
1110019D14Rik,18.3583244130363,43.1525322195636,-0.9440000000000001,0.015758
Psmd9,1024.51257186571,507.265169646505,1.08467,3.1635e-7
Mpp7,70.8045209504961,130.333236939168,-0.73263,0.0021519
Athl1,403.731086325161,634.755083695775,-0.54069,9.7516e-5
Cpxm2,1.62951254824255,9.74189073559553,-1.1632,0.041156
Cmpk2,53.6990418952847,181.91117998861,-1.3269,0.0018319
Nostrin,153.760735742611,345.226961221692,-1.0283,1.3325e-8
Gata6,328.703738522814,163.664243076927,1.0677,3.9379e-6
Gm6377,32.1565641386896,13.3450004973953,1.1186,0.036279
Pdia4,1544.95255228789,4170.37143042671,-1.3158999999999998,1.1686e-36
Abcf2,763.653331729065,571.31232601005,0.51021,0.019548
Fgfr3,410.018842942824,717.102020292548,-0.67226,0.0013115
Rp9,830.688296009705,634.048004815229,0.48418000000000005,0.019724
Tlr3,68.2860783998143,114.219783348016,-0.5990800000000001,0.022985
Hnrnpa2b1,5377.42952548033,7237.48052286834,-0.32341,0.0010135
Gas5,1018.13160605115,678.587004422782,0.67614,1.1988e-4
Slc19a2,4638.52790377135,2828.92749052209,0.80147,5.2779e-7
Cys1,138.574389904203,58.2360973864006,1.2097,0.0022411
Adipor1,2341.5453265165,1657.54909264772,0.59357,1.8609e-5
Rasd1,80.0625019071294,15.4847532427677,1.7293,0.0025524
Chil1,21.7543413417215,3.32085142496353,1.6800000000000002,0.0066367
Mdfic,275.944968312288,492.911828374643,-0.71885,1.4294e-6
Letm1,1044.49530729415,1495.45217210816,-0.40481,0.0052214
Fn3krp,75.1351316912044,230.031236014034,-1.4398,1.9459e-11
Cdkl2,83.6085970469622,130.306511534979,-0.5110600000000001,0.021143
Mtmr7,156.570195212795,68.7003800741694,1.228,8.9327e-6
Zkscan17,687.088135316733,335.799517484148,1.08922,4.2574e-6
Traf4,980.072421447763,610.677853795027,0.76123,0.0016446
Khk,7768.18942999028,5776.42625503579,0.51705,0.0272
B4galt3,203.469794421738,138.727120007671,0.63294,0.024391
Tex2,2836.53758430406,3911.75295364457,-0.35829999999999995,1.047e-4
Apof,5384.73412379615,11538.4124339355,-0.9843000000000001,1.8025e-18
Tmem38b,1440.01021466918,1083.20329625603,0.50507,0.0092662
Lgals3bp,673.108393799085,1553.33092947314,-1.077,4.4198e-12
Ube2u,17.0813719588473,60.2724271120247,-1.4219,2.2656e-4
Thnsl2,603.141125737207,760.925027344037,-0.22834000000000002,0.036653
Snx16,113.211256035205,58.8548643681617,0.97712,0.0033931
Hist2h2be,31.830661645179,74.5951505435768,-1.0146,0.0012404
Chrna1os,9.57228546490147,25.7050254261481,-0.9945,0.032939
Gadd45g,1063.11968896386,148.170658075823,1.7075,0.0059499
Poglut1,148.099280199837,248.129110839164,-0.61846,7.438e-4
Zc3h12d,12.5916353645484,83.3146074400074,-2.1868,9.5861e-9
Mmp9,2.72578251631088,14.1011234275162,-1.2818999999999998,0.02044
Glrx,818.953256667077,379.049274952357,1.1894,3.7433e-12
Pura,1751.49895743582,1271.75887806744,0.55459,0.0033361
Lect2,845.108650800872,1700.88395067966,-0.8574700000000001,1.5401e-4
Pgm2,4057.00801545695,3129.64491103425,0.46730000000000005,0.031317
Sdf2l1,98.801774244791,569.732269340433,-2.2641999999999998,4.4873e-20
Zfp281,1047.17615481812,607.189313758422,0.82553,0.027549
Pgpep1l,52.5153904579958,9.0811486288119,2.0343,3.9484e-5
Ddrgk1,3005.03240139242,2430.23260904992,0.40188999999999997,0.047691
Col4a1,455.848253161933,914.349967811167,-0.87733,7.7388e-8
Plac8,55.5004319304255,111.517203148519,-0.83023,0.0040751
Fbxl19,239.38119007821,176.241553105879,0.52927,0.039428
Tob1,4408.42612402309,2305.31822199877,0.99668,6.8414e-5
Ypel5,739.59019691394,542.668568366493,0.54013,0.0055665
Ttbk2,203.77981787304,112.147592716451,0.93255999999999994,1.1852e-4
Hsd17b12,1417.80779738589,2482.44539484534,-0.6926800000000001,1.4029e-7
Zfp689,34.3973184289338,16.3632762060456,1.01359,0.043106
Slc22a5,1715.5484328469,446.693728967196,1.9398000000000002,9.3255e-15
Xpr1,1042.15023195545,827.582284007273,0.42852,0.035515
Hlcs,199.451757273407,392.290403418613,-0.849,3.25e-7
Mpp4,182.458008781483,45.7557655453664,1.7103000000000002,4.2288e-4
Tbc1d19,31.8547688222328,61.1092687559107,-0.73044,0.039442
Kansl1,1003.81542652833,690.741495499591,0.63102,7.5222e-5
Pecr,2695.22326589551,3650.31254674229,-0.33231999999999995,5.7358e-4
Irgq,370.168805187685,598.653906740538,-0.56775,0.0020622
Dctn5,322.12554112382,439.566740888478,-0.33841999999999994,0.016269
Edem2,649.044010288301,866.370799744118,-0.30545,0.029892
Ccnd3,557.032873851664,400.205940211609,0.5671,0.0093939
Plcxd1,33.425288619413,6.9602259940326,1.8163,3.8437e-4
Ddit3,192.912727514008,122.772082561378,0.7236699999999999,0.019653
Aadac,5413.48271789851,7224.5738896859,-0.30676000000000003,0.026491
Gpn1,123.408689047964,242.474568533722,-0.83903,5.4705e-6
Ddost,1102.23937912774,1852.04339477578,-0.63931,1.3661e-9
Pilrb1,26.328331955995,59.2909218374447,-0.9021,0.023161
Ctdsp2,1940.31680374015,1134.49964219414,0.85553,5.5378e-6
Nek8,145.020937952576,95.8603714668545,0.6696,0.017865
Epb4.1l5,1249.37971630045,804.238032022216,0.7142499999999999,0.0053063
Trmt2a,232.826281195913,312.018061311459,-0.31340999999999997,0.042415
Trib1,1127.59732166113,780.009199863148,0.61683,0.0085659
Endog,433.885994062274,292.394930928944,0.65793,0.0011476
Stard3nl,94.9017227599637,170.210923894781,-0.6938300000000001,0.0029971
Zfp451,554.925983984719,365.998055220057,0.68787,4.2645e-4
Cnpy2,744.845777322954,1118.95530535752,-0.47823000000000004,1.1145e-4
Tjp3,175.814899164437,737.404500740547,-1.8904999999999998,2.0032e-23
Dmap1,85.5506831875818,193.401238147521,-1.0335999999999999,1.0545e-7
Chd1,1670.1362185116,1174.286795468,0.59879,0.0015738
Sepp1,124137.416370806,81480.0272111715,0.69921,3.1359e-6
Slc16a5,1150.18655124627,174.070438068335,2.5429,3.9849e-14
Imp3,683.544012283597,447.442911309192,0.69899,7.7637e-4
Lad1,7.51731450775624,89.0009978561302,-2.6311999999999998,1.4412e-9
Tmem177,80.4357989647356,127.067131578587,-0.5225500000000001,0.026388000000000002
Ndrg1,178.867161442084,422.446515708926,-1.0017999999999998,0.0029944
Serpind1,6276.05283137674,9880.27915296654,-0.54813,3.0565e-9
Cxadr,1173.89005123849,2016.98250940196,-0.6577700000000001,6.839e-5
Tanc2,314.394632518494,154.72289237083,1.06701,4.2867e-4
Mga,1085.6467391841,732.631118655297,0.65548,4.5651e-4
Ndufa5,1166.40844237717,851.064275966446,0.5482,9.5073e-4
I830012O16Rik,14.2617111174656,78.1050193478186,-1.7057,3.3849e-4
Lims1,270.1320381057,416.750054635492,-0.50749,0.0022291
Rasa2,180.045954030098,81.6596992149801,1.1979000000000002,9.1044e-7
Slc25a32,859.873392358595,350.28276011922,1.332,2.2732e-7
Rabgap1,590.926734790557,453.811536434099,0.47589000000000004,0.025387
Dhx9,1852.15716867997,1386.79493698429,0.51184,0.0053713
Gm12451,16.8658038583732,3.4812054849375,1.4171,0.028827
Chid1,260.661858535887,514.716346077019,-0.85406,4.1616e-8
Cbx4,334.943522824417,206.048937925232,0.78261,4.9569e-4
Zbtb2,272.974409792505,121.127999057651,1.2327000000000001,1.3085e-8
Slc25a44,1318.34194910411,1615.87647072436,-0.18899000000000002,0.039096
Cdk5rap3,602.643345837488,1016.61722053832,-0.64459,3.1841e-9
Ndufa10,2623.69206638955,1914.34176596574,0.5501,1.7999e-4
9430015G10Rik,202.98024229376,88.4026401088132,1.2556,1.1312e-7
Uqcrc2,4584.87634813913,3484.89271977319,0.49185,3.9602e-4
Notch1,715.266406246236,521.616501349513,0.5406,0.034465
